"Category","SourcePath","CopiedPath","Bytes","LastWriteTime","Lines","HeaderOrFirstLine","Note"
"07_Source_Code","V3D\NinjaTrader\Momentum_V3D.cs","07_Source_Code\V3D\NinjaTrader\Momentum_V3D.cs","28422","2026-05-01 17:17:26",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\RegimeMatrixHUD_V3D.cs","07_Source_Code\V3D\NinjaTrader\RegimeMatrixHUD_V3D.cs","36008","2026-04-28 12:22:06",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\Sniper_V3D.cs","07_Source_Code\V3D\NinjaTrader\Sniper_V3D.cs","26128","2026-05-01 17:17:26",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\Sniper_V3D_B.cs","07_Source_Code\V3D\NinjaTrader\Sniper_V3D_B.cs","21901","2026-05-01 17:17:26",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\TradeLogExporter_V3D.cs","07_Source_Code\V3D\NinjaTrader\TradeLogExporter_V3D.cs","21927","2026-04-30 17:53:06",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\ValueAreaBackfillReporter.cs","07_Source_Code\V3D\NinjaTrader\ValueAreaBackfillReporter.cs","13058","2026-05-01 18:03:42",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\NinjaTrader\ValueAreaExporter.cs","07_Source_Code\V3D\NinjaTrader\ValueAreaExporter.cs","14624","2026-04-25 18:50:26",,"","V3D HUD and strategy source."
"07_Source_Code","V3D\Scripts\HMMWatchdog_V3D.py","07_Source_Code\V3D\Scripts\HMMWatchdog_V3D.py","21772","2026-05-01 11:08:08",,"","V3D Python pipeline source."
"07_Source_Code","V3D\Scripts\MacroRegimeBuilder_V3D.py","07_Source_Code\V3D\Scripts\MacroRegimeBuilder_V3D.py","31920","2026-04-28 12:28:11",,"","V3D Python pipeline source."
"07_Source_Code","V3D\Scripts\RegimeSupervisor_V3D.py","07_Source_Code\V3D\Scripts\RegimeSupervisor_V3D.py","44808","2026-05-01 17:23:05",,"","V3D Python pipeline source."
